attack_type,security_tools_used,industry
Zero-Day Exploit,IDS,Government
Zero-Day Exploit,IDS,Technology
Malware,SIEM,Energy
Credential Stuffing,Account Lockout,Retail
SQL Injection,Database Firewall,Manufacturing
DDoS,DDoS Mitigation,Utilities
Brute Force,Account Lockout,Government
Brute Force,MFA,Government
Credential Stuffing,MFA,Manufacturing
DDoS,CDN Scrubbing,Technology
Ransomware,Antivirus,Technology
Business Email Compromise,Email Filtering,Education
Ransomware,Antivirus,Retail
Phishing,DMARC,Energy
Malware,EDR,Technology
Credential Stuffing,MFA,Healthcare
Phishing,DMARC,Finance
Business Email Compromise,DMARC,Manufacturing
DDoS,DDoS Mitigation,Energy
Phishing,MFA,Retail
Ransomware,EDR,Government
Credential Stuffing,MFA,Technology
Brute Force,Account Lockout,Utilities
SQL Injection,WAF,Education
Phishing,DMARC,Government
Phishing,MFA,Manufacturing
Brute Force,MFA,Technology
Zero-Day Exploit,EDR,Manufacturing
Supply Chain Compromise,Firewall,Manufacturing
Phishing,Email Filtering,Retail
Ransomware,Antivirus,Government
Phishing,Email Filtering,Transportation
Zero-Day Exploit,IDS,Healthcare
Ransomware,Offline Backups,Technology
Business Email Compromise,Email Filtering,Technology
Ransomware,Offline Backups,Manufacturing
Phishing,MFA,Manufacturing
Ransomware,Offline Backups,Technology
Supply Chain Compromise,SIEM,Healthcare
Brute Force,Account Lockout,Retail
Malware,Antivirus,Technology
Ransomware,Offline Backups,Energy
Phishing,MFA,Retail
Phishing,Email Filtering,Healthcare
Phishing,SIEM,Energy
Malware,EDR,Energy
SQL Injection,WAF,Technology
Credential Stuffing,SIEM,Healthcare
Supply Chain Compromise,IDS,Retail
Ransomware,EDR,Manufacturing
DDoS,DDoS Mitigation,Manufacturing
Malware,Antivirus,Manufacturing
Cross-Site Scripting,WAF,Government
Zero-Day Exploit,EDR,Retail
Brute Force,Account Lockout,Retail
Malware,Antivirus,Government
Zero-Day Exploit,EDR,Technology
Ransomware,Offline Backups,Finance
Phishing,Email Filtering,Manufacturing
Phishing,Email Filtering,Manufacturing
Zero-Day Exploit,IDS,Retail
Zero-Day Exploit,EDR,Technology
Business Email Compromise,Email Filtering,Finance
SQL Injection,WAF,Government
DDoS,DDoS Mitigation,Retail
Brute Force,Account Lockout,Finance
Ransomware,SIEM,Finance
Malware,SIEM,Healthcare
Business Email Compromise,SIEM,Manufacturing
Phishing,MFA,Technology
Malware,Antivirus,Healthcare
Ransomware,Offline Backups,Technology
Malware,Antivirus,Energy
Zero-Day Exploit,EDR,Healthcare
Cross-Site Scripting,Content Security Policy,Manufacturing
Ransomware,SIEM,Healthcare
SQL Injection,Database Firewall,Healthcare
Malware,Antivirus,Retail
Phishing,MFA,Finance
Ransomware,EDR,Government
Phishing,Email Filtering,Retail
Ransomware,EDR,Technology
Ransomware,Antivirus,Energy
SQL Injection,Database Firewall,Manufacturing
Credential Stuffing,Account Lockout,Manufacturing
Ransomware,Antivirus,Manufacturing
Ransomware,EDR,Government
Phishing,MFA,Technology
SQL Injection,WAF,Manufacturing
DDoS,WAF,Finance
Ransomware,EDR,Manufacturing
Phishing,Email Filtering,Retail
Cross-Site Scripting,WAF,Technology
SQL Injection,WAF,Technology
DDoS,DDoS Mitigation,Healthcare
Zero-Day Exploit,IDS,Retail
Cross-Site Scripting,WAF,Technology
Business Email Compromise,DMARC,Manufacturing
Cross-Site Scripting,WAF,Manufacturing
SQL Injection,WAF,Transportation
SQL Injection,WAF,Education
Zero-Day Exploit,IDS,Retail
